Variables: 375
Clauses: 1575
File name: Sat375x1575-3SAT.cnf
Max temperature is: 0.3
Min temperature: 0.001
Decay rate: 0.0
Iterations: 4500
Max_Tries: 10
Concurrency: true
Available threads: 8
Pure literal: true
Timeout: 300000 ms

SAT

The time taken was: ????
----------------------------------------------------------------------------------------------------------
Variable 1 is: 0
Variable 2 is: 0
Variable 3 is: 0
Variable 4 is: 1
Variable 5 is: 0
Variable 6 is: 0
Variable 7 is: 0
Variable 8 is: 0
Variable 9 is: 0
Variable 10 is: 0
Variable 11 is: 0
Variable 12 is: 0
Variable 13 is: 1
Variable 14 is: 0
Variable 15 is: 0
Variable 16 is: 0
Variable 17 is: 1
Variable 18 is: 1
Variable 19 is: 0
Variable 20 is: 0
Variable 21 is: 0
Variable 22 is: 1
Variable 23 is: 1
Variable 24 is: 1
Variable 25 is: 0
Variable 26 is: 0
Variable 27 is: 0
Variable 28 is: 1
Variable 29 is: 0
Variable 30 is: 1
Variable 31 is: 1
Variable 32 is: 0
Variable 33 is: 1
Variable 34 is: 0
Variable 35 is: 0
Variable 36 is: 1
Variable 37 is: 1
Variable 38 is: 1
Variable 39 is: 0
Variable 40 is: 1
Variable 41 is: 0
Variable 42 is: 0
Variable 43 is: 0
Variable 44 is: 1
Variable 45 is: 1
Variable 46 is: 1
Variable 47 is: 0
Variable 48 is: 0
Variable 49 is: 1
Variable 50 is: 0
Variable 51 is: 0
Variable 52 is: 1
Variable 53 is: 1
Variable 54 is: 1
Variable 55 is: 1
Variable 56 is: 0
Variable 57 is: 1
Variable 58 is: 1
Variable 59 is: 0
Variable 60 is: 0
Variable 61 is: 0
Variable 62 is: 0
Variable 63 is: 0
Variable 64 is: 0
Variable 65 is: 1
Variable 66 is: 1
Variable 67 is: 0
Variable 68 is: 0
Variable 69 is: 0
Variable 70 is: 0
Variable 71 is: 1
Variable 72 is: 1
Variable 73 is: 1
Variable 74 is: 0
Variable 75 is: 1
Variable 76 is: 1
Variable 77 is: 0
Variable 78 is: 1
Variable 79 is: 1
Variable 80 is: 0
Variable 81 is: 1
Variable 82 is: 1
Variable 83 is: 1
Variable 84 is: 0
Variable 85 is: 0
Variable 86 is: 0
Variable 87 is: 0
Variable 88 is: 0
Variable 89 is: 1
Variable 90 is: 0
Variable 91 is: 1
Variable 92 is: 0
Variable 93 is: 0
Variable 94 is: 0
Variable 95 is: 0
Variable 96 is: 0
Variable 97 is: 1
Variable 98 is: 1
Variable 99 is: 1
Variable 100 is: 0
Variable 101 is: 1
Variable 102 is: 1
Variable 103 is: 0
Variable 104 is: 0
Variable 105 is: 0
Variable 106 is: 0
Variable 107 is: 0
Variable 108 is: 0
Variable 109 is: 1
Variable 110 is: 0
Variable 111 is: 0
Variable 112 is: 1
